car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats
Toyota Innova,Toyota,Innova,12,125000,Dealer,Diesel,Manual,12.8,2494,102.0,8
Hyundai i10,Hyundai,i10,11,100000,Dealer,Petrol,Manual,20.36,1197,78.9,5
Tata Safari,Tata,Safari,7,88598,Dealer,Diesel,Manual,14.0,2179,138.1,7
Ford Ecosport,Ford,Ecosport,8,50000,Dealer,Petrol,Automatic,16.5,1499,110.0,5
Honda Amaze,Honda,Amaze,8,75000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Hyundai Santro,Hyundai,Santro,1,3000,Individual,Petrol,Manual,20.3,1086,68.07,5
Toyota Innova,Toyota,Innova,6,181684,Dealer,Diesel,Manual,12.99,2494,100.6,7
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,5,35000,Individual,Diesel,Automatic,11.3,2987,254.8,7
Audi A6,Audi,A6,10,55000,Dealer,Petrol,Automatic,10.4,2773,201.0,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,53000,Dealer,Diesel,Manual,26.59,1248,74.0,5
Ford Aspire,Ford,Aspire,3,12000,Individual,Diesel,Manual,25.83,1498,99.0,5
Hyundai Verna,Hyundai,Verna,9,94892,Dealer,Diesel,Manual,22.32,1582,126.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,69000,Dealer,Diesel,Manual,26.59,1248,74.0,5
Toyota Innova,Toyota,Innova,3,36000,Individual,Diesel,Manual,13.68,2393,147.8,7
Hyundai Grand,Hyundai,Grand,4,17500,Individual,Petrol,Manual,18.9,1197,81.86,5
Maruti Wagon R,Maruti,Wagon R,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,3,20000,Dealer,Diesel,Automatic,17.9,2143,167.6,5
Hyundai i20,Hyundai,i20,8,58000,Dealer,Diesel,Manual,21.9,1396,90.0,5
Volkswagen Polo,Volkswagen,Polo,8,83703,Dealer,Diesel,Manual,22.07,1199,73.9,5
Mahindra Bolero,Mahindra,Bolero,11,120000,Individual,Diesel,Manual,13.6,2523,63.0,8
Datsun GO,Datsun,GO,6,70000,Individual,Petrol,Manual,20.62,1198,67.0,7
Maruti Eeco,Maruti,Eeco,5,29000,Dealer,CNG,Manual,15.1,1196,73.0,5
BMW X3,BMW,X3,4,40000,Individual,Diesel,Automatic,18.56,1995,190.0,5
Maruti Alto,Maruti,Alto,29,22612,Dealer,Petrol,Manual,22.05,796,47.3,5
Maruti Baleno,Maruti,Baleno,3,21000,Dealer,Petrol,Manual,21.4,1197,83.1,5
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,11,45000,Dealer,Diesel,Automatic,14.84,2143,170.0,5
Mahindra XUV500,Mahindra,XUV500,4,34000,Dealer,Diesel,Manual,16.0,2179,140.0,7
Maruti Ciaz,Maruti,Ciaz,6,65000,Individual,Diesel,Manual,28.09,1248,88.5,5
Maruti Vitara,Maruti,Vitara,4,38000,Dealer,Diesel,Manual,24.3,1248,88.5,5
Maruti Ciaz,Maruti,Ciaz,4,31869,Dealer,Petrol,Manual,20.73,1373,91.1,5
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,24.7,796,47.3,5
Renault Duster,Renault,Duster,6,37639,Dealer,Diesel,Manual,19.87,1461,83.8,5
Hyundai i20,Hyundai,i20,7,90000,Individual,Petrol,Manual,18.5,1197,82.85,5
Maruti Wagon R,Maruti,Wagon R,16,138008,Dealer,Petrol,Manual,18.9,998,67.1,5
Hyundai Santro,Hyundai,Santro,2,7000,Dealer,Petrol,Manual,20.3,1086,68.07,5
Maruti Vitara,Maruti,Vitara,3,50000,Individual,Diesel,Manual,24.3,1248,88.5,5
Hyundai Creta,Hyundai,Creta,4,60008,Dealer,Diesel,Automatic,17.01,1582,126.2,5
Volkswagen Polo,Volkswagen,Polo,6,96000,Individual,Diesel,Manual,20.14,1498,88.8,5
Mahindra XUV500,Mahindra,XUV500,6,89000,Dealer,Diesel,Manual,15.1,2179,140.0,7
Hyundai i10,Hyundai,i10,10,15000,Individual,Petrol,Manual,20.36,1197,78.9,5
Maruti Celerio,Maruti,Celerio,7,100000,Individual,Petrol,Manual,23.1,998,67.04,5
Hyundai Grand,Hyundai,Grand,5,70000,Individual,Diesel,Manual,24.0,1120,70.0,5
Maruti Dzire VXI,Maruti,Dzire VXI,4,30500,Dealer,Petrol,Automatic,24.12,1197,88.5,5
Maruti Wagon R,Maruti,Wagon R,8,40000,Individual,Petrol,Manual,18.9,998,67.1,5
Renault KWID,Renault,KWID,5,14183,Dealer,Petrol,Manual,22.3,799,53.26,5
Maruti Alto,Maruti,Alto,14,83000,Dealer,Petrol,Manual,19.7,796,46.3,5
Maruti Alto,Maruti,Alto,18,90000,Individual,Petrol,Manual,19.7,796,46.3,5
Maruti Celerio,Maruti,Celerio,5,2000,Dealer,Petrol,Automatic,23.1,998,67.04,5
BMW Z4,BMW,Z4,10,24000,Dealer,Petrol,Automatic,10.37,2979,306.0,2
Mahindra XUV500,Mahindra,XUV500,3,50000,Individual,Diesel,Automatic,15.1,2179,152.87,7
Tata Harrier,Tata,Harrier,2,20000,Individual,Diesel,Manual,17.0,1956,138.1,5
Toyota Innova,Toyota,Innova,8,80000,Individual,Diesel,Manual,12.99,2494,100.0,7
Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5
Audi Q7,Audi,Q7,8,128000,Dealer,Diesel,Automatic,12.07,2967,241.4,7
Maruti Eeco,Maruti,Eeco,6,60200,Dealer,CNG,Manual,21.94,1196,61.7,5
Maruti Celerio,Maruti,Celerio,5,54000,Dealer,Petrol,Automatic,23.1,998,67.04,5
Maruti Alto,Maruti,Alto,11,9100,Dealer,Petrol,Manual,23.95,998,67.05,5
Hyundai i20,Hyundai,i20,3,21000,Dealer,Petrol,Manual,18.6,1197,81.86,5
Ford Figo,Ford,Figo,7,93334,Dealer,Petrol,Manual,15.6,1196,70.02,5
Honda Amaze,Honda,Amaze,8,73000,Dealer,Diesel,Manual,25.8,1498,98.6,5
Toyota Innova,Toyota,Innova,11,200000,Dealer,Diesel,Manual,12.99,2494,100.6,7
Hyundai Verna,Hyundai,Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,2179,120.0,7
Mahindra Bolero,Mahindra,Bolero,7,120000,Dealer,Diesel,Manual,13.6,2523,63.0,7
Volkswagen Vento,Volkswagen,Vento,6,50000,Dealer,Petrol,Automatic,18.19,1197,103.2,5
Maruti Ciaz,Maruti,Ciaz,3,49000,Dealer,Petrol,Automatic,19.12,1373,91.1,5
Renault Duster,Renault,Duster,7,150000,Individual,Diesel,Manual,19.01,1461,108.45,5
Tata Nexon,Tata,Nexon,3,60000,Individual,Diesel,Manual,21.5,1497,108.5,5
Hyundai Verna,Hyundai,Verna,3,19211,Dealer,Petrol,Manual,19.1,1368,98.6,5
Honda City,Honda,City,5,122000,Individual,Diesel,Manual,26.0,1498,98.6,5
Maruti Ciaz,Maruti,Ciaz,4,28847,Dealer,Petrol,Automatic,19.12,1373,91.1,5
Renault Duster,Renault,Duster,8,47163,Dealer,Diesel,Manual,19.01,1461,108.45,5
BMW X1,BMW,X1,7,116653,Dealer,Diesel,Automatic,17.05,1995,184.0,5
Maruti Alto,Maruti,Alto,8,60000,Individual,Petrol,Manual,20.92,998,67.1,5
Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796,46.3,5
Maruti Ertiga,Maruti,Ertiga,4,49000,Dealer,CNG,Manual,17.5,1373,80.46,7
Volkswagen Vento,Volkswagen,Vento,7,76500,Individual,Diesel,Manual,20.34,1498,103.2,5
Maruti Swift Dzire,Maruti,Swift Dzire,6,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5
Maruti Wagon R,Maruti,Wagon R,4,82000,Dealer,Petrol,Manual,18.9,998,67.1,5
Maruti Swift,Maruti,Swift,5,90000,Individual,Diesel,Manual,25.2,1248,74.0,5
Mahindra Scorpio,Mahindra,Scorpio,8,122772,Dealer,Diesel,Manual,12.05,2179,120.0,7
Mahindra XUV300,Mahindra,XUV300,2,25000,Individual,Diesel,Manual,20.0,1497,115.0,5
Ford Endeavour,Ford,Endeavour,3,25000,Individual,Diesel,Automatic,10.91,3198,197.0,7
Maruti Swift,Maruti,Swift,8,70000,Individual,Diesel,Manual,22.9,1248,74.0,5
Toyota Fortuner,Toyota,Fortuner,9,70000,Dealer,Diesel,Manual,11.5,2982,171.0,7
Maruti Wagon R,Maruti,Wagon R,3,10983,Dealer,Petrol,Manual,21.5,1197,81.8,5
BMW X1,BMW,X1,3,80000,Dealer,Diesel,Automatic,20.68,1995,190.0,5
Mahindra Bolero,Mahindra,Bolero,3,20000,Individual,Diesel,Manual,16.5,1493,70.0,7
Toyota Innova,Toyota,Innova,9,25000,Individual,Diesel,Manual,12.99,2494,100.0,8
Maruti Eeco,Maruti,Eeco,2,7557,Dealer,Petrol,Manual,16.11,1196,72.42,5
Volkswagen Vento,Volkswagen,Vento,8,66000,Dealer,Diesel,Manual,22.27,1498,108.6,5
Hyundai i10,Hyundai,i10,11,48216,Dealer,Petrol,Manual,20.36,1197,78.9,5
Tata Tiago,Tata,Tiago,3,30000,Individual,Petrol,Manual,23.84,1199,84.0,5
Maruti Swift,Maruti,Swift,7,67067,Dealer,Diesel,Manual,28.4,1248,74.0,5
Maruti Celerio,Maruti,Celerio,4,20500,Individual,Petrol,Manual,23.1,998,67.04,5
Maruti Swift,Maruti,Swift,4,100000,Individual,Diesel,Manual,28.4,1248,74.0,5
Audi A6,Audi,A6,7,21000,Dealer,Diesel,Automatic,17.68,1968,174.33,5
Volkswagen Vento,Volkswagen,Vento,8,71000,Dealer,Diesel,Manual,20.54,1598,103.6,5
Maruti Wagon R,Maruti,Wagon R,5,50000,Individual,CNG,Manual,26.6,998,58.16,5
Ford Ecosport,Ford,Ecosport,3,24000,Dealer,Petrol,Automatic,14.8,1497,121.36,5
Toyota Fortuner,Toyota,Fortuner,7,46000,Dealer,Diesel,Automatic,12.55,2982,168.5,7
Tata Tiago,Tata,Tiago,4,35780,Dealer,Diesel,Manual,27.28,1047,69.0,5
Hyundai Grand,Hyundai,Grand,3,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5
Honda City,Honda,City,5,68000,Individual,Diesel,Manual,26.0,1498,98.6,5
Maruti Ciaz,Maruti,Ciaz,2,15000,Individual,Petrol,Manual,21.56,1462,103.25,5
Hyundai i20,Hyundai,i20,11,50000,Individual,Petrol,Manual,18.5,1197,80.0,5
Volkswagen Polo,Volkswagen,Polo,3,50000,Dealer,Petrol,Manual,18.78,999,75.0,5
Ford Figo,Ford,Figo,9,90000,Individual,Diesel,Manual,20.0,1399,68.0,5
Maruti Dzire VXI,Maruti,Dzire VXI,3,1902,Dealer,Petrol,Automatic,24.12,1197,88.5,5
Maruti Wagon R,Maruti,Wagon R,7,86461,Dealer,Petrol,Manual,20.51,998,67.04,5
Honda Amaze,Honda,Amaze,8,100000,Individual,Diesel,Manual,25.8,1498,98.6,5
Renault Duster,Renault,Duster,7,75000,Dealer,Diesel,Manual,19.87,1461,83.8,5
Toyota Innova,Toyota,Innova,5,100000,Dealer,Diesel,Manual,13.68,2393,147.8,8
Maruti Wagon R,Maruti,Wagon R,8,70000,Individual,Petrol,Manual,20.51,998,67.04,5
Hyundai i10,Hyundai,i10,10,66381,Dealer,Petrol,Manual,20.36,1197,78.9,5
Maruti Alto,Maruti,Alto,13,50000,Individual,Petrol,Manual,19.7,796,46.3,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,100000,Individual,Diesel,Manual,23.4,1248,74.0,5
Mahindra Scorpio,Mahindra,Scorpio,2,30000,Individual,Diesel,Manual,15.4,2523,75.0,7
Honda Amaze,Honda,Amaze,4,55000,Individual,Diesel,Manual,25.8,1498,98.6,5
Honda City,Honda,City,4,25000,Individual,Diesel,Manual,26.0,1498,98.6,5
Maruti Swift Dzire,Maruti,Swift Dzire,3,12400,Dealer,Petrol,Manual,21.21,1197,81.8,5
Renault KWID,Renault,KWID,4,9748,Individual,Petrol,Manual,23.01,999,67.0,5
Maruti Alto,Maruti,Alto,10,16300,Individual,Petrol,Manual,19.7,796,46.3,5
Ford Ecosport,Ford,Ecosport,8,67234,Dealer,Diesel,Manual,22.7,1498,89.84,5
Maruti Swift Dzire,Maruti,Swift Dzire,2,14000,Dealer,Diesel,Manual,19.3,1248,73.9,5
Maruti Baleno,Maruti,Baleno,3,40000,Individual,Diesel,Manual,27.39,1248,74.0,5
Renault KWID,Renault,KWID,6,30000,Individual,Petrol,Manual,25.17,799,53.3,5
Maruti Alto,Maruti,Alto,8,90000,Individual,Petrol,Manual,22.74,796,47.3,5
Honda Amaze,Honda,Amaze,7,170000,Individual,Diesel,Manual,25.8,1498,98.6,5
Hyundai Verna,Hyundai,Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5
Maruti Alto,Maruti,Alto,5,31000,Dealer,CNG,Manual,32.26,998,58.2,4
Maruti Ertiga,Maruti,Ertiga,6,133000,Individual,Diesel,Manual,20.77,1248,88.76,7
Maruti Celerio,Maruti,Celerio,3,18000,Individual,Petrol,Manual,21.63,998,67.0,5
Maruti Celerio,Maruti,Celerio,2,18500,Dealer,Petrol,Automatic,21.63,998,67.0,5
Hyundai i10,Hyundai,i10,10,20000,Individual,Petrol,Manual,20.36,1197,78.9,5
Renault Duster,Renault,Duster,6,56000,Dealer,Diesel,Manual,20.46,1461,83.8,5
Honda City,Honda,City,10,56000,Dealer,Petrol,Manual,17.0,1497,118.0,5
