car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Toyota Innova,Toyota,Innova,12,125000,Dealer,Diesel,Manual,12.8,2494,102.0,8,648080
Hyundai i10,Hyundai,i10,11,100000,Dealer,Petrol,Manual,20.36,1197,78.9,5,263340
Tata Safari,Tata,Safari,7,88598,Dealer,Diesel,Manual,14.0,2179,138.1,7,528200
Ford Ecosport,Ford,Ecosport,8,50000,Dealer,Petrol,Automatic,16.5,1499,110.0,5,476237
Honda Amaze,Honda,Amaze,8,75000,Dealer,Diesel,Manual,25.8,1498,98.6,5,354820
Hyundai Santro,Hyundai,Santro,1,3000,Individual,Petrol,Manual,20.3,1086,68.07,5,507520
Toyota Innova,Toyota,Innova,6,181684,Dealer,Diesel,Manual,12.99,2494,100.6,7,1148478
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,5,35000,Individual,Diesel,Automatic,11.3,2987,254.8,7,4978533
Audi A6,Audi,A6,10,55000,Dealer,Petrol,Automatic,10.4,2773,201.0,5,1004653
Maruti Swift Dzire,Maruti,Swift Dzire,6,53000,Dealer,Diesel,Manual,26.59,1248,74.0,5,586063
Ford Aspire,Ford,Aspire,3,12000,Individual,Diesel,Manual,25.83,1498,99.0,5,805760
Hyundai Verna,Hyundai,Verna,9,94892,Dealer,Diesel,Manual,22.32,1582,126.3,5,480883
Maruti Swift Dzire,Maruti,Swift Dzire,6,69000,Dealer,Diesel,Manual,26.59,1248,74.0,5,628358
Toyota Innova,Toyota,Innova,3,36000,Individual,Diesel,Manual,13.68,2393,147.8,7,1661560
Hyundai Grand,Hyundai,Grand,4,17500,Individual,Petrol,Manual,18.9,1197,81.86,5,487663
Maruti Wagon R,Maruti,Wagon R,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,479050
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,3,20000,Dealer,Diesel,Automatic,17.9,2143,167.6,5,3836603
Hyundai i20,Hyundai,i20,8,58000,Dealer,Diesel,Manual,21.9,1396,90.0,5,405638
Volkswagen Polo,Volkswagen,Polo,8,83703,Dealer,Diesel,Manual,22.07,1199,73.9,5,313270
Mahindra Bolero,Mahindra,Bolero,11,120000,Individual,Diesel,Manual,13.6,2523,63.0,8,317583
Datsun GO,Datsun,GO,6,70000,Individual,Petrol,Manual,20.62,1198,67.0,7,283915
Maruti Eeco,Maruti,Eeco,5,29000,Dealer,CNG,Manual,15.1,1196,73.0,5,322170
BMW X3,BMW,X3,4,40000,Individual,Diesel,Automatic,18.56,1995,190.0,5,3117860
Maruti Alto,Maruti,Alto,29,22612,Dealer,Petrol,Manual,22.05,796,47.3,5,101912
Maruti Baleno,Maruti,Baleno,3,21000,Dealer,Petrol,Manual,21.4,1197,83.1,5,657337
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,11,45000,Dealer,Diesel,Automatic,14.84,2143,170.0,5,987360
Mahindra XUV500,Mahindra,XUV500,4,34000,Dealer,Diesel,Manual,16.0,2179,140.0,7,1310450
Maruti Ciaz,Maruti,Ciaz,6,65000,Individual,Diesel,Manual,28.09,1248,88.5,5,634432
Maruti Vitara,Maruti,Vitara,4,38000,Dealer,Diesel,Manual,24.3,1248,88.5,5,845837
Maruti Ciaz,Maruti,Ciaz,4,31869,Dealer,Petrol,Manual,20.73,1373,91.1,5,783980
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,24.7,796,47.3,5,302434
Renault Duster,Renault,Duster,6,37639,Dealer,Diesel,Manual,19.87,1461,83.8,5,654760
Hyundai i20,Hyundai,i20,7,90000,Individual,Petrol,Manual,18.5,1197,82.85,5,443100
Maruti Wagon R,Maruti,Wagon R,16,138008,Dealer,Petrol,Manual,18.9,998,67.1,5,165375
Hyundai Santro,Hyundai,Santro,2,7000,Dealer,Petrol,Manual,20.3,1086,68.07,5,532350
Maruti Vitara,Maruti,Vitara,3,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,854495
Hyundai Creta,Hyundai,Creta,4,60008,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1300403
Volkswagen Polo,Volkswagen,Polo,6,96000,Individual,Diesel,Manual,20.14,1498,88.8,5,446410
Mahindra XUV500,Mahindra,XUV500,6,89000,Dealer,Diesel,Manual,15.1,2179,140.0,7,855715
Hyundai i10,Hyundai,i10,10,15000,Individual,Petrol,Manual,20.36,1197,78.9,5,250337
Maruti Celerio,Maruti,Celerio,7,100000,Individual,Petrol,Manual,23.1,998,67.04,5,294513
Hyundai Grand,Hyundai,Grand,5,70000,Individual,Diesel,Manual,24.0,1120,70.0,5,438650
Maruti Dzire VXI,Maruti,Dzire VXI,4,30500,Dealer,Petrol,Automatic,24.12,1197,88.5,5,763970
Maruti Wagon R,Maruti,Wagon R,8,40000,Individual,Petrol,Manual,18.9,998,67.1,5,293332
Renault KWID,Renault,KWID,5,14183,Dealer,Petrol,Manual,22.3,799,53.26,5,349710
Maruti Alto,Maruti,Alto,14,83000,Dealer,Petrol,Manual,19.7,796,46.3,5,159190
Maruti Alto,Maruti,Alto,18,90000,Individual,Petrol,Manual,19.7,796,46.3,5,75532
Maruti Celerio,Maruti,Celerio,5,2000,Dealer,Petrol,Automatic,23.1,998,67.04,5,466750
BMW Z4,BMW,Z4,10,24000,Dealer,Petrol,Automatic,10.37,2979,306.0,2,3394490
Mahindra XUV500,Mahindra,XUV500,3,50000,Individual,Diesel,Automatic,15.1,2179,152.87,7,1507760
Tata Harrier,Tata,Harrier,2,20000,Individual,Diesel,Manual,17.0,1956,138.1,5,1625308
Toyota Innova,Toyota,Innova,8,80000,Individual,Diesel,Manual,12.99,2494,100.0,7,697875
Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,725901
Audi Q7,Audi,Q7,8,128000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,2548432
Maruti Eeco,Maruti,Eeco,6,60200,Dealer,CNG,Manual,21.94,1196,61.7,5,355770
Maruti Celerio,Maruti,Celerio,5,54000,Dealer,Petrol,Automatic,23.1,998,67.04,5,450142
Maruti Alto,Maruti,Alto,11,9100,Dealer,Petrol,Manual,23.95,998,67.05,5,237160
Hyundai i20,Hyundai,i20,3,21000,Dealer,Petrol,Manual,18.6,1197,81.86,5,707378
Ford Figo,Ford,Figo,7,93334,Dealer,Petrol,Manual,15.6,1196,70.02,5,309840
Honda Amaze,Honda,Amaze,8,73000,Dealer,Diesel,Manual,25.8,1498,98.6,5,341842
Toyota Innova,Toyota,Innova,11,200000,Dealer,Diesel,Manual,12.99,2494,100.6,7,605315
Hyundai Verna,Hyundai,Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,592852
Mahindra Scorpio,Mahindra,Scorpio,4,50000,Individual,Diesel,Manual,15.4,2179,120.0,7,1131770
Mahindra Bolero,Mahindra,Bolero,7,120000,Dealer,Diesel,Manual,13.6,2523,63.0,7,490938
Volkswagen Vento,Volkswagen,Vento,6,50000,Dealer,Petrol,Automatic,18.19,1197,103.2,5,613950
Maruti Ciaz,Maruti,Ciaz,3,49000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,874495
Renault Duster,Renault,Duster,7,150000,Individual,Diesel,Manual,19.01,1461,108.45,5,564940
Tata Nexon,Tata,Nexon,3,60000,Individual,Diesel,Manual,21.5,1497,108.5,5,742455
Hyundai Verna,Hyundai,Verna,3,19211,Dealer,Petrol,Manual,19.1,1368,98.6,5,818630
Honda City,Honda,City,5,122000,Individual,Diesel,Manual,26.0,1498,98.6,5,761313
Maruti Ciaz,Maruti,Ciaz,4,28847,Dealer,Petrol,Automatic,19.12,1373,91.1,5,828770
Renault Duster,Renault,Duster,8,47163,Dealer,Diesel,Manual,19.01,1461,108.45,5,494525
BMW X1,BMW,X1,7,116653,Dealer,Diesel,Automatic,17.05,1995,184.0,5,1739407
Maruti Alto,Maruti,Alto,8,60000,Individual,Petrol,Manual,20.92,998,67.1,5,221668
Maruti Alto,Maruti,Alto,15,110000,Individual,Petrol,Manual,19.7,796,46.3,5,123185
Maruti Ertiga,Maruti,Ertiga,4,49000,Dealer,CNG,Manual,17.5,1373,80.46,7,774130
Volkswagen Vento,Volkswagen,Vento,7,76500,Individual,Diesel,Manual,20.34,1498,103.2,5,493041
